Sr. No.,Shop Name,zone_clean,nlp_complaints,nlp_ct_feedback,nlp_suggestions,nlp_other_feedback,nlp_why_not_stocking,nlp_full_corpus
98,Banbari Dood Bhandar,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
99,Priyag Kirana & Genral Store,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | no awareness among customers | more advertising in jaipur
100,Shri Khandelwal Store,Vaishali_Mansarovar,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
101,Kanha Departmental Store,Jhotwara_Murlipura,curd is too sour,"good freshness, priced right",smaller affordable sku for single-use,no_data,no_data,"curd is too sour | good freshness, priced right | smaller affordable sku for single-use"
102,S.K Kirana,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more consumer-facing offers/free trials
103,Amit Computers,Jhotwara_Murlipura,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,saras is sufficient for my customers,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | saras is sufficient for my customers
104,Agrawal Kirana & Genral Store,Jhotwara_Murlipura,packaging leaks or breaks,"texture is creamy, some prefer it over masti",more consumer-facing offers/free trials,no_data,no_data,"packaging leaks or breaks | texture is creamy, some prefer it over masti | more consumer-facing offers/free trials"
105,Om Brothers Kirana & General Store,Jhotwara_Murlipura,no complaints,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
106,Atul Kirana Store,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
107,,Malviya_Sanganer,packaging leaks or breaks,customers like the cup format,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | customers like the cup format | more advertising in jaipur
108,Mehta Kirana Store,Malviya_Sanganer,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no_data,curd is too sour | customers haven't asked for it | better margins for retailers
109,Riddhi Provision Store,Malviya_Sanganer,no complaints,customers haven't asked for it,more frequent sales rep visits,no_data,no customer demand/enquiry,no complaints | customers haven't asked for it | more frequent sales rep visits | no customer demand/enquiry
110,Pooja Kirana,Vaishali_Mansarovar,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,curd is too sour | no awareness among customers | smaller affordable sku for single-use
111,Agrawal Kirana & Gen. Store,Vaishali_Mansarovar,not thick enough,no awareness among customers,more frequent sales rep visits,no_data,no_data,not thick enough | no awareness among customers | more frequent sales rep visits
112,48 Number Canteen,Malviya_Sanganer,curd is too sour,no awareness among customers,more advertising in jaipur,no_data,no_data,curd is too sour | no awareness among customers | more advertising in jaipur
113,Bismilla Restaurent,Old_City,not thick enough,customers haven't asked for it,more advertising in jaipur,no_data,no_data,not thick enough | customers haven't asked for it | more advertising in jaipur
114,Ishika Bakers,Malviya_Sanganer,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
115,J.K Amul Parlour,Amer_Periphery,no complaints,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,no complaints | customers haven't asked for it | more consumer-facing offers/free trials
116,Kamal Dairy,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no customer demand/enquiry,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | no customer demand/enquiry
117,Kamal Sweets,Jhotwara_Murlipura,curd is too sour,no awareness among customers,more advertising in jaipur,no_data,no_data,curd is too sour | no awareness among customers | more advertising in jaipur
118,Shree Krishna Mishthan Bhandar,Amer_Periphery,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,no_data,curd is too sour | customers haven't asked for it | more advertising in jaipur
119,Jain Sabji,Amer_Periphery,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no_data,no complaints | customers haven't asked for it | more advertising in jaipur
120,Shiv Shakti Bakers,Malviya_Sanganer,not thick enough,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,not thick enough | no awareness among customers | smaller affordable sku for single-use
121,Ramkumar Kirana Store,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,better margins for retailers,no_data,no customer demand/enquiry,packaging leaks or breaks | customers haven't asked for it | better margins for retailers | no customer demand/enquiry
122,Jai Sai Ice Creame,Vaishali_Mansarovar,curd is too sour,customers like the cup format,smaller affordable sku for single-use,no_data,no_data,curd is too sour | customers like the cup format | smaller affordable sku for single-use
123,Agrawal Kirana & Gen. Store,Amer_Periphery,curd is too sour,"sells okay, no specific complaints",more frequent sales rep visits,no_data,no_data,"curd is too sour | sells okay, no specific complaints | more frequent sales rep visits"
124,Agarwal Kirana,Jhotwara_Murlipura,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,no complaints | no awareness among customers | smaller affordable sku for single-use
125,Salasar Departmental Store,Jhotwara_Murlipura,no complaints,"texture is creamy, some prefer it over masti",better margins for retailers,no_data,no_data,"no complaints | texture is creamy, some prefer it over masti | better margins for retailers"
126,Vashu Amul Parlour,Vaishali_Mansarovar,not thick enough,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
128,Sharma Kirana Store,C_Scheme,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
130,Sunita Trading,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
131,Sonkiya Genral Store,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
132,Bharat Traders (Khandelwal)Anajmandi,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
133,Hansram Gujjar Home Delivery,Vaishali_Mansarovar,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
134,Pareek Kirana Store,Malviya_Sanganer,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,saras is sufficient for my customers,curd is too sour | customers haven't asked for it | better margins for retailers | saras is sufficient for my customers
135,Radha Kirana Store,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,smaller affordable sku for single-use,no_data,company rep hasn't offered it,packaging leaks or breaks | customers haven't asked for it | smaller affordable sku for single-use | company rep hasn't offered it
136,Kanha Store,Amer_Periphery,not thick enough,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,not thick enough | no awareness among customers | more consumer-facing offers/free trials
137,Agarwal Departmental Store,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
138,Yadav Store,Amer_Periphery,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no_data,no complaints | customers haven't asked for it | more advertising in jaipur
139,Mridul Enterprises,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
140,Sankar Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
141,Grhanidhi,Malviya_Sanganer,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
142,Poonam Bakery,Amer_Periphery,no complaints,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,no complaints | customers haven't asked for it | more consumer-facing offers/free trials
143,Anjali Provision Store,Amer_Periphery,curd is too sour,customers like the cup format,more advertising in jaipur,no_data,no_data,curd is too sour | customers like the cup format | more advertising in jaipur
144,,Amer_Periphery,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no_data,curd is too sour | customers haven't asked for it | better margins for retailers
145,Ashok Kumar & Company,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
146,Gurukripa General And Kirana Store,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
147,Rashid Badshah,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more consumer-facing offers/free trials
148,Noor Store,Jhotwara_Murlipura,no complaints,"good freshness, priced right",smaller affordable sku for single-use,no_data,no_data,"no complaints | good freshness, priced right | smaller affordable sku for single-use"
149,Shree Balaji Department Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
150,Janpath Departmental Store,Malviya_Sanganer,not thick enough,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
151,J.K Provision Store,Amer_Periphery,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,no complaints | no awareness among customers | smaller affordable sku for single-use
152,Meenu,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more advertising in jaipur,no_data,no customer demand/enquiry,packaging leaks or breaks | customers haven't asked for it | more advertising in jaipur | no customer demand/enquiry
153,Garima General Store,Jhotwara_Murlipura,curd is too sour,customers like the cup format,better margins for retailers,no_data,no_data,curd is too sour | customers like the cup format | better margins for retailers
154,Shree Ji Provision Store,Malviya_Sanganer,packaging leaks or breaks,"texture is creamy, some prefer it over masti",smaller affordable sku for single-use,no_data,no_data,"packaging leaks or breaks | texture is creamy, some prefer it over masti | smaller affordable sku for single-use"
155,Dinesh General Store,Malviya_Sanganer,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,low/unclear margin,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers | low/unclear margin
156,Kalyan Departmental Store,Vaishali_Mansarovar,curd is too sour,customers haven't asked for it,smaller affordable sku for single-use,no_data,no customer demand/enquiry,curd is too sour | customers haven't asked for it | smaller affordable sku for single-use | no customer demand/enquiry
157,Hariyali Bajaar,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
158,Indian Restaurent,Amer_Periphery,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,company rep hasn't offered it,curd is too sour | no awareness among customers | more consumer-facing offers/free trials | company rep hasn't offered it
159,Vinod Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
160,Ananda Departmental Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
161,Kasliwal Provision Store,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no customer demand/enquiry company rep hasn't offered it,packaging leaks or breaks | no awareness among customers | more advertising in jaipur | no customer demand/enquiry company rep hasn't offered it
162,Mukesh Kirana Store,Malviya_Sanganer,curd is too sour,no awareness among customers,better margins for retailers,no_data,no_data,curd is too sour | no awareness among customers | better margins for retailers
163,Shiv Kirana Store,Malviya_Sanganer,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
164,Janki Raman Gautam,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
165,Ekata Enterprises,Amer_Periphery,curd is too sour,no awareness among customers,more advertising in jaipur,no_data,company rep hasn't offered it,curd is too sour | no awareness among customers | more advertising in jaipur | company rep hasn't offered it
166,Janana Hospital Canteen,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more frequent sales rep visits,no_data,no_data,packaging leaks or breaks | no awareness among customers | more frequent sales rep visits
167,Nilam General Store,Amer_Periphery,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
168,Choudhary Store,Amer_Periphery,not thick enough,no awareness among customers,more advertising in jaipur,no_data,no customer demand/enquiry,not thick enough | no awareness among customers | more advertising in jaipur | no customer demand/enquiry
169,Ganpati Department Store,Amer_Periphery,curd is too sour,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,curd is too sour | customers haven't asked for it | smaller affordable sku for single-use
170,Choice Corner,Amer_Periphery,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
171,Devendra Colddrink,Amer_Periphery,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,saras is sufficient for my customers,no complaints | customers haven't asked for it | more advertising in jaipur | saras is sufficient for my customers
172,Ridhi Sidhi Deprt. Store,Amer_Periphery,curd is too sour,"sells okay, no specific complaints",more advertising in jaipur,no_data,no_data,"curd is too sour | sells okay, no specific complaints | more advertising in jaipur"
173,R.K Comunication,Malviya_Sanganer,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,no customer demand/enquiry company rep hasn't offered it,curd is too sour | customers haven't asked for it | more advertising in jaipur | no customer demand/enquiry company rep hasn't offered it
174,Shivam Amul Parlour,Amer_Periphery,no complaints,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,no complaints | customers haven't asked for it | more consumer-facing offers/free trials
175,Mehta,Malviya_Sanganer,no complaints,no awareness among customers,better margins for retailers,no_data,no_data,no complaints | no awareness among customers | better margins for retailers
176,Kumawat Provision Store,Jhotwara_Murlipura,no complaints,"sells okay, no specific complaints",more advertising in jaipur,no_data,no_data,"no complaints | sells okay, no specific complaints | more advertising in jaipur"
177,Om Kirana & General Store,Jhotwara_Murlipura,curd is too sour,"texture is creamy, some prefer it over masti",better margins for retailers,no_data,no_data,"curd is too sour | texture is creamy, some prefer it over masti | better margins for retailers"
178,Agarwal Kirana Store 2,Malviya_Sanganer,no complaints,no awareness among customers,more frequent sales rep visits,no_data,company rep hasn't offered it,no complaints | no awareness among customers | more frequent sales rep visits | company rep hasn't offered it
179,Shree Shyam,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
180,Rajesh(Saras),Vaishali_Mansarovar,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,company rep hasn't offered it,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | company rep hasn't offered it
181,Singhal Departmental Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
182,Pooja Restaurant,Jhotwara_Murlipura,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
183,Bansal Genral Store,Amer_Periphery,curd is too sour,customers like the cup format,more advertising in jaipur,no_data,no_data,curd is too sour | customers like the cup format | more advertising in jaipur
184,Sai,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
185,Khandelwal Kirana Store,Jhotwara_Murlipura,not thick enough,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,low/unclear margin,not thick enough | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | low/unclear margin
187,Kunwar Fancy Store,Amer_Periphery,not thick enough,no awareness among customers,more advertising in jaipur,no_data,no_data,not thick enough | no awareness among customers | more advertising in jaipur
188,Shiv Bhola Genral,Amer_Periphery,curd is too sour,no awareness among customers,more frequent sales rep visits,no_data,no customer demand/enquiry,curd is too sour | no awareness among customers | more frequent sales rep visits | no customer demand/enquiry
189,Pankaj Provision Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
190,Hariom Prov.,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
191,Sonu Monu Kirana,Vaishali_Mansarovar,packaging leaks or breaks,no awareness among customers,more consumer-facing offers/free trials,no_data,no customer demand/enquiry,packaging leaks or breaks | no awareness among customers | more consumer-facing offers/free trials | no customer demand/enquiry
192,,Amer_Periphery,not thick enough,customers haven't asked for it,better margins for retailers,no_data,no customer demand/enquiry,not thick enough | customers haven't asked for it | better margins for retailers | no customer demand/enquiry
193,Goyal Kirana Store,Amer_Periphery,no complaints,no awareness among customers,better margins for retailers,no_data,no_data,no complaints | no awareness among customers | better margins for retailers
194,Nasir Kirana,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
195,Sharma Kirana Store,Vaishali_Mansarovar,no complaints,"good freshness, priced right",more frequent sales rep visits,no_data,no_data,"no complaints | good freshness, priced right | more frequent sales rep visits"
196,Vidhya Dept. Store,Vaishali_Mansarovar,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,no_data,curd is too sour | customers haven't asked for it | more advertising in jaipur
197,Shree Shyam Provision Store,Vaishali_Mansarovar,curd is too sour,customers like the cup format,more frequent sales rep visits,no_data,no_data,curd is too sour | customers like the cup format | more frequent sales rep visits
198,Gurukripa Kirana Store,Jhotwara_Murlipura,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
199,,Amer_Periphery,curd is too sour,"sells okay, no specific complaints",more advertising in jaipur,no_data,no_data,"curd is too sour | sells okay, no specific complaints | more advertising in jaipur"
200,Laxmi Ice Cream,Amer_Periphery,packaging leaks or breaks,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,packaging leaks or breaks | no awareness among customers | smaller affordable sku for single-use
202,Dahakd,Malviya_Sanganer,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
203,Chanda Gen. Store,Vaishali_Mansarovar,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
204,Shree Govindham,Malviya_Sanganer,not thick enough,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,company rep hasn't offered it,not thick enough | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | company rep hasn't offered it
205,Sangam Parlour,Vaishali_Mansarovar,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,saras is sufficient for my customers,no complaints | customers haven't asked for it | more advertising in jaipur | saras is sufficient for my customers
206,Sharma Deepa,Amer_Periphery,not thick enough,"texture is creamy, some prefer it over masti",more frequent sales rep visits,no_data,no_data,"not thick enough | texture is creamy, some prefer it over masti | more frequent sales rep visits"
207,Saini Dhaba,Amer_Periphery,not thick enough,"sells okay, no specific complaints",more consumer-facing offers/free trials,no_data,no_data,"not thick enough | sells okay, no specific complaints | more consumer-facing offers/free trials"
208,Hemant Kirana,Amer_Periphery,curd is too sour,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | customers haven't asked for it | more consumer-facing offers/free trials
209,Rathod General Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no customer demand/enquiry,no complaints | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | no customer demand/enquiry
210,Rajat Genral Store,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
211,Shri Ji Store,Vaishali_Mansarovar,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
212,Mahaveer Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
213,Balaji Departmental Store,Malviya_Sanganer,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no_data,curd is too sour | customers haven't asked for it | better margins for retailers
214,Mahalaxmi Kirana Store,Amer_Periphery,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no customer demand/enquiry company rep hasn't offered it,curd is too sour | customers haven't asked for it | better margins for retailers | no customer demand/enquiry company rep hasn't offered it
215,Jaipur Dairy 2021,Vaishali_Mansarovar,curd is too sour,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | customers haven't asked for it | more consumer-facing offers/free trials
216,Maa Jeen Ganral Store,Amer_Periphery,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,company rep hasn't offered it,curd is too sour | customers haven't asked for it | more advertising in jaipur | company rep hasn't offered it
217,Khandelwal Deparment Store,Vaishali_Mansarovar,not thick enough,"texture is creamy, some prefer it over masti",more frequent sales rep visits,no_data,no_data,"not thick enough | texture is creamy, some prefer it over masti | more frequent sales rep visits"
218,Lakshita Kirana Store,Jhotwara_Murlipura,no complaints,"texture is creamy, some prefer it over masti",more advertising in jaipur,no_data,no_data,"no complaints | texture is creamy, some prefer it over masti | more advertising in jaipur"
219,Jai Mahakal Tea Stall,Malviya_Sanganer,no complaints,no awareness among customers,more frequent sales rep visits,no_data,no_data,no complaints | no awareness among customers | more frequent sales rep visits
220,Shri Gokul Dairy,Amer_Periphery,not thick enough,"texture is creamy, some prefer it over masti",more advertising in jaipur,no_data,no_data,"not thick enough | texture is creamy, some prefer it over masti | more advertising in jaipur"
221,Bhag Chand,Amer_Periphery,packaging leaks or breaks,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,packaging leaks or breaks | no awareness among customers | smaller affordable sku for single-use
222,Saini Dept. Store,Vaishali_Mansarovar,not thick enough,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,not thick enough | customers haven't asked for it | more consumer-facing offers/free trials
223,Lal General Store,Amer_Periphery,packaging leaks or breaks,customers like the cup format,more frequent sales rep visits,no_data,no_data,packaging leaks or breaks | customers like the cup format | more frequent sales rep visits
224,Vans Kirana,Amer_Periphery,no complaints,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no customer demand/enquiry,no complaints | customers haven't asked for it | more consumer-facing offers/free trials | no customer demand/enquiry
225,Laxmi Agencies,Amer_Periphery,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,no customer demand/enquiry,curd is too sour | customers haven't asked for it | more advertising in jaipur | no customer demand/enquiry
226,Prahlad Rai,Malviya_Sanganer,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | no awareness among customers | more advertising in jaipur
227,Purchuni General Store,Amer_Periphery,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,low/unclear margin,no complaints | no awareness among customers | smaller affordable sku for single-use | low/unclear margin
228,Shree Krishna Kirana Store,Amer_Periphery,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no customer demand/enquiry,curd is too sour | no awareness among customers | smaller affordable sku for single-use | no customer demand/enquiry
229,Agarwal Kirana Store,Amer_Periphery,not thick enough,no awareness among customers,better margins for retailers,no_data,no_data,not thick enough | no awareness among customers | better margins for retailers
230,Aman Kirana Store,Jhotwara_Murlipura,not thick enough,"sells okay, no specific complaints",smaller affordable sku for single-use,no_data,no_data,"not thick enough | sells okay, no specific complaints | smaller affordable sku for single-use"
231,Manglam Departmental Store,Jhotwara_Murlipura,no complaints,"sells okay, no specific complaints",more frequent sales rep visits,no_data,no_data,"no complaints | sells okay, no specific complaints | more frequent sales rep visits"
232,Mahesh Amul Dairy,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
233,Laxmi Kirana And General Store,Amer_Periphery,not thick enough,no awareness among customers,smaller affordable sku for single-use,no_data,no customer demand/enquiry,not thick enough | no awareness among customers | smaller affordable sku for single-use | no customer demand/enquiry
234,,Amer_Periphery,not thick enough,customers haven't asked for it,better margins for retailers,no_data,no_data,not thick enough | customers haven't asked for it | better margins for retailers
235,Susgil Departmental,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
236,Roshani Bakery,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
237,Sharma Tea,Amer_Periphery,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
238,G.M Marketing (Machiwal),Amer_Periphery,no complaints,customers haven't asked for it,better margins for retailers,no_data,no_data,no complaints | customers haven't asked for it | better margins for retailers
239,Harsh Kirana Store,Old_City,no complaints,"good freshness, priced right",more advertising in jaipur,no_data,no_data,"no complaints | good freshness, priced right | more advertising in jaipur"
240,,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits | no customer demand/enquiry
241,Sabji Bhandar,Vaishali_Mansarovar,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
242,Shri Ji Store,Amer_Periphery,curd is too sour,no awareness among customers,better margins for retailers,no_data,no_data,curd is too sour | no awareness among customers | better margins for retailers
243,Segeeta Provision Store,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
